Name,Bachelors_pct,High_school_pct
Puerto Rico,12.289263,17.205459
Alabama,10.388658,17.151789
Alaska,11.9567,14.37409
Arizona,11.78328,13.35761
Arkansas,9.425194,18.728458
California,13.57516,12.19218
Colorado,16.734863,11.914186
Connecticut,14.80201,16.515973
District of Columbia,16.929138,10.665223
Delaware,12.448237,19.1832
Florida,12.90229,17.581657
Georgia,12.17447,15.233744
Hawaii,14.707968,17.656215
Idaho,11.723539,14.234075
Illinois,13.818681,15.311222
Indiana,10.65613,18.878532
Iowa,12.41021,18.221726
Kansas,13.396388,14.361221
Kentucky,9.197139,17.737846
Maine,13.970671,19.711869
Louisiana,10.162281,18.934735
Massachusetts,16.22556,15.152065
Maryland,14.347676,15.008258
Michigan,11.564497,17.101832
Minnesota,15.470431,14.991478
Mississippi,8.706425,15.842034
Missouri,11.821606,17.762975
Montana,14.088198,16.958291
Nebraska,13.262538,15.113672
New Hampshire,15.7093,16.807098
Nevada,10.617735,16.501571
New Jersey,16.070816,17.464139
New Mexico,10.014735,14.42944
New York,13.733487,15.461975
North Carolina,12.967876,14.688203
North Dakota,13.74922,15.223851
Ohio,11.552387,20.180295
Oklahoma,10.853716,17.350628
Oregon,13.949672,13.166293
Pennsylvania,12.679194,21.98165
Rhode Island,13.683344,16.119011
South Carolina,11.670697,16.987872
South Dakota,12.79663,17.13426
Tennessee,11.195549,18.02923
Texas,11.994251,13.089886
Utah,12.535217,11.614624
Vermont,15.303313,18.21829
Virginia,14.593904,13.79421
West Virginia,8.46142,23.85996
Washington,14.845814,12.694828
Wyoming,11.625171,15.736454
Wisconsin,12.986028,18.795631
