,State,Combined Rank_1,Rank_2
38,Oregon,1,1
45,Utah,3,2
30,Nevada,7,3
8,District of Columbia,2,4
49,Washington,4,5
2,Alaska,6,6
6,Colorado,10,7
32,New Mexico,18,8
13,Idaho,13,9
24,Minnesota,15,10
3,Arizona,14,11
12,Hawaii,5,12
21,Massachusetts,8,13
27,Montana,12,14
33,New York,9,15
51,Wisconsin,20,16
46,Vermont,16,17
5,California,11,18
39,Pennsylvania,19,19
7,Connecticut,23,20
36,Ohio,31,21
26,Missouri,38,22
14,Illinois,17,23
16,Iowa,26,24
40,Rhode Island,27,25
10,Florida,21,26
42,South Dakota,32,27
28,Nebraska,36,28
31,New Jersey,22,29
18,Kentucky,35,30
9,Delaware,40,31
23,Michigan,42,32
15,Indiana,41,33
17,Kansas,34,34
22,Maryland,30,35
11,Georgia,29,36
35,North Dakota,39,37
47,Virginia,25,38
19,Maine,24,39
37,Oklahoma,44,40
44,Texas,37,41
20,Louisiana,33,42
0,Puerto Rico,28,43
4,Arkansas,47,44
34,North Carolina,43,45
48,West Virginia,45,46
43,Tennessee,49,47
1,Alabama,51,48
41,South Carolina,50,49
29,New Hampshire,46,50
25,Mississippi,48,51
