Name,Happiness Score,Happiness Rating
South Dakota,64.1,50
Vermont,64.1,49
Hawaii,63.4,48
Minnesota,63.1,47
North Dakota,63.1,46
Colorado,62.9,45
New Hampshire,62.8,44
Idaho,62.8,43
Utah,62.8,42
Montana,62.8,41
Massachusetts,62.5,40
Florida,62.4,39
Texas,62.3,38
California,62.3,37
Arizona,62.2,36
Wyoming,62.1,35
Nebraska,62.1,34
Virginia,61.9,33
North Carolina,61.8,32
Connecticut,61.7,31
Iowa,61.7,30
Washington,61.7,29
New York,61.7,28
Maine,61.6,27
Alaska,61.6,26
New Mexico,61.6,25
Wisconsin,61.6,24
New Jersey,61.5,23
Tennessee,61.5,22
Maryland,61.3,21
Georgia,61.3,20
Michigan,61.3,19
Kansas,61.2,18
Pennsylvania,61.2,17
Oregon,61.1,16
Illinois,61.1,15
South Carolina,61,14
Alabama,60.8,13
Missouri,60.7,12
Delaware,60.7,11
Rhode Island,60.5,10
Indiana,60.4,9
Nevada,60.2,8
Ohio,60,7
Kentucky,59.8,6
Oklahoma,59.7,5
Mississippi,59.6,4
Arkansas,59.4,3
Louisiana,58.9,2
West Virginia,58.8,1
