,State,Parks,latitude,longitude,Name,Dances
0,AK,19,63.588753000000004,-154.493062,Alaska,3
1,AL,7,32.318231,-86.902298,Alabama,2
2,AR,7,35.20105,-91.83183299999999,Arkansas,2
3,AZ,21,34.048928000000004,-111.093731,Arizona,4
4,CA,30,36.778261,-119.41793200000001,California,29
5,CO,13,39.550051,-105.782067,Colorado,8
6,CT,2,41.603221000000005,-73.087749,Connecticut,8
7,DE,1,38.910832,-75.52767,Delaware,1
8,FL,10,27.664827000000002,-81.515754,Florida,9
9,GA,13,32.157435,-82.907123,Georgia,6
10,HI,9,19.898682,-155.66585700000002,Hawaii,1
11,IA,2,41.878003,-93.097702,Iowa,3
12,ID,5,44.068202,-114.74204099999999,Idaho,3
13,IL,2,40.633125,-89.398528,Illinois,6
14,IN,3,40.551217,-85.602364,Indiana,6
15,KS,5,39.011902,-98.484246,Kansas,2
16,KY,4,37.839333,-84.27001800000001,Kentucky,6
17,LA,6,31.244822999999997,-92.14502399999999,Louisiana,2
18,MA,19,42.407211,-71.382437,Massachusetts,25
19,MD,22,39.045755,-76.641271,Maryland,8
20,ME,5,45.253783,-69.44546899999999,Maine,9
21,MI,7,44.314844,-85.602364,Michigan,8
22,MN,4,46.729553,-94.6859,Minnesota,1
23,MO,6,37.964253,-91.83183299999999,Missouri,7
24,MT,5,46.879682,-110.36256599999999,Montana,4
25,NC,9,35.759572999999996,-79.0193,North Carolina,12
26,NE,5,41.492537,-99.901813,Nebraska,2
27,NH,1,43.193852,-71.572395,New Hampshire,6
28,NJ,4,40.058324,-74.405661,New Jersey,2
29,NM,23,34.97273,-105.03236299999999,New Mexico,3
30,NV,3,38.802609999999994,-116.419389,Nevada,2
31,NY,29,43.299428000000006,-74.217933,New York,23
32,OH,11,40.417287,-82.907123,Ohio,13
33,OK,3,35.007752,-97.092877,Oklahoma,4
34,OR,4,43.804133,-120.554201,Oregon,9
35,PA,23,41.203322,-77.194525,Pennsylvania,9
36,RI,2,41.580095,-71.477429,Rhode Island,3
37,SC,10,33.836081,-81.163725,South Carolina,3
38,TN,8,35.517491,-86.58044699999999,Tennessee,5
39,TX,14,31.968598999999998,-99.901813,Texas,9
40,UT,11,39.32098,-111.093731,Utah,4
41,VA,25,37.431573,-78.656894,Virginia,14
42,VT,1,44.558803000000005,-72.577841,Vermont,5
43,WA,11,47.751073999999996,-120.74013899999999,Washington,16
44,WI,3,43.784440000000004,-88.787868,Wisconsin,4
45,WV,8,38.597626,-80.454903,West Virginia,3
